"","predicate","class","response"
"84","royal","human",0.4925
"85","silly","human",0.655
"86","sleepy","human",0.546
"87","smart","human",0.596666666666667
"88","smiley","human",0.41
"89","sneaky","human",0.587777777777778
"90","sorry","human",0.68
"91","stupid","human",0.6575
"92","vain","human",0.7125
"93","whiny","human",0.653333333333333
"94","wicked","human",0.674444444444444
"95","wise","human",0.753846153846154
"96","crazy","human",0.771666666666667
"97","famous","human",0.451111111111111
"98","gentle","human",0.573846153846154
"99","gloomy","human",0.690714285714286
"100","happy","human",0.43
"101","kind","human",0.73875
"102","maternal","human",0.434
"103","merry","human",0.72
"104","vicious","human",0.642142857142857
"105","cross","human",0.477142857142857
"106","dumb","human",0.794444444444445
"107","hungry","human",0.473333333333333
"108","sad","human",0.567777777777778
"109","greedy","human",0.93
"110","attentive","human",0.59
"111","back","location",0.297142857142857
"112","bottom","location",0.269090909090909
"113","close","location",0.629230769230769
"114","east","location",0.202222222222222
"115","far","location",0.609473684210526
"116","glottal","location",0.482
"117","left","location",0.310666666666667
"118","meadow","location",0.198
"119","polar","location",0.368571428571429
"120","side","location",0.271
"121","western","location",0.350714285714286
"122","front","location",0.254
"123","high","location",0.428181818181818
"124","upstairs","location",0.0723076923076923
"125","central","location",0.3275
"126","south","location",0.232
"127","top","location",0.135714285714286
"128","low","location",0.594
"129","haired","material",0.324615384615385
"130","iron","material",0.1
"131","plastic","material",0.268
"132","wooden","material",0.255454545454545
"133","wool","material",0.287
"134","concrete","material",0.302857142857143
"135","silk","material",0.285714285714286
"136","American","nationality",0.367857142857143
"137","French","nationality",0.278888888888889
"138","Mexican","nationality",0.283076923076923
"139","Chinese","nationality",0.12
"140","English","nationality",0.191111111111111
"141","Dutch","nationality",0.383333333333333
"142","bubbly","other",0.557692307692308
"143","bumpity","other",0.591818181818182
"144","busy","other",0.683333333333333
"145","choice","other",0.507142857142857
"146","darned","other",0.699166666666667
"147","different","other",0.771428571428571
"148","even","other",0.427142857142857
"149","exact","other",0.281
"150","fake","other",0.550909090909091
"151","fellow","other",0.31
"152","free","other",0.320666666666667
"153","glitzy","other",0.581818181818182
"154","horned","other",0.23
"155","messy","other",0.63
"156","multiple","other",0.358
"157","musical","other",0.361875
"158","obvious","other",0.629166666666667
"159","organic","other",0.246666666666667
"160","personal","other",0.444
"161","pokey","other",0.66125
"162","pretend","other",0.435
"163","real","other",0.241428571428571
"164","roundabout","other",0.494166666666667
"165","sore","other",0.69
"166","spare","other",0.16375
"167","steady","other",0.537142857142857
"168","stinky","other",0.50625
"169","trick","other",0.656428571428571
"170","true","other",0.362727272727273
"171","undercover","other",0.293
"172","verbal","other",0.39
"173","whole","other",0.353636363636364
"174","wiggly","other",0.437058823529412
"175","double","other",0.053
"176","formal","other",0.452777777777778
"177","naked","other",0.418571428571429
"178","own","other",0.253333333333333
"179","ready","other",0.555555555555556
"180","same","other",0.30875
"181","still","other",0.226666666666667
"182","wriggly","other",0.55
"183","head","other",0.288
"184","natural","other",0.499
"185","part","other",0.442857142857143
"186","sick","other",0.344285714285714
"187","medical","other",0.3
"188","clean","physical",0.589230769230769
"189","cool","physical",0.678125
"190","crisp","physical",0.614285714285714
"191","delicate","physical",0.5
"192","dense","physical",0.6
"193","fluffy","physical",0.573333333333333
"194","fragile","physical",0.384166666666667
"195","full","physical",0.384444444444444
"196","fuzzy","physical",0.4975
"197","hollow","physical",0.221428571428571
"198","hot","physical",0.403
"199","light","physical",0.562
"200","loud","physical",0.48
"201","salty","physical",0.545555555555556
"202","shiny","physical",0.367333333333333
"203","slick","physical",0.629090909090909
"204","slippery","physical",0.568888888888889
"205","sparkly","physical",0.545
"206","spicey","physical",0.618571428571429
"207","squeaky","physical",0.528571428571429
"208","steep","physical",0.58
"209","sweet","physical",0.724666666666667
"210","warm","physical",0.6675
"211","waterproof","physical",0.192307692307692
"212","bald","physical",0.182222222222222
"213","bumpy","physical",0.487
"214","cold","physical",0.69
"215","crooked","physical",0.426153846153846
"216","crunchy","physical",0.31875
"217","damp","physical",0.485384615384615
"218","dirty","physical",0.504
"219","hard","physical",0.428181818181818
"220","sharp","physical",0.417272727272727
"221","soft","physical",0.572222222222222
"222","wet","physical",0.5275
"223","dry","physical",0.3375
"224","empty","physical",0.371428571428571
"225","misshapen","physical",0.487142857142857
"226","quiet","physical",0.36875
"227","rough","physical",0.715
"228","strong","physical",0.64375
"229","heavy","physical",0.5725
"230","smooth","physical",0.59875
"231","oval","shape",0.213333333333333
"232","squiggly","shape",0.511111111111111
"233","round","shape",0.23875
"234","square","shape",0.384285714285714
"235","instant","speed",0.251111111111111
"236","quick","speed",0.561111111111111
"237","fast","speed",0.57125
"238","speedy","speed",0.660909090909091
"239","slow","speed",0.504285714285714
"240","final","temporal",0.2375
"241","first","temporal",0.141818181818182
"242","next","temporal",0.281
"243","second","temporal",0.0675
"244","third","temporal",0.180833333333333
"245","early","temporal",0.628
"246","late","temporal",0.422307692307692
"247","last","temporal",0.39
"248","past","temporal",0.277692307692308
"249","alright","value",0.623571428571429
"250","awesome","value",0.857142857142857
"251","awful","value",0.641666666666667
"252","bonnie","value",0.365833333333333
"253","brilliant","value",0.68625
"254","cozy","value",0.683333333333333
"255","dandy","value",0.729230769230769
"256","delicious","value",0.789285714285714
"257","exciting","value",0.695454545454545
"258","fancy","value",0.673636363636364
"259","good","value",0.78125
"260","great","value",0.838
"261","handy","value",0.674166666666667
"262","horrible","value",0.64
"263","junk","value",0.594
"264","nasty","value",0.757142857142857
"265","nice","value",0.725833333333333
"266","odd","value",0.715833333333333
"267","okay","value",0.88
"268","pathetic","value",0.687692307692308
"269","perfect","value",0.493
"270","plain","value",0.571428571428571
"271","poop","value",0.371818181818182
"272","posh","value",0.654666666666667
"273","precious","value",0.755
"274","pretty","value",0.863333333333333
"275","proper","value",0.766666666666667
"276","scary","value",0.723333333333333
"277","special","value",0.68
"278","strange","value",0.757777777777778
"279","super","value",0.770833333333333
"280","tidy","value",0.593636363636364
"281","ugly","value",0.729166666666667
"282","weird","value",0.815
"283","wrong","value",0.452222222222222
"284","yummy","value",0.611428571428571
"285","comfy","value",0.789090909090909
"286","correct","value",0.376666666666667
"287","crummy","value",0.761666666666667
"288","cute","value",0.787272727272727
"289","dear","value",0.61
"290","grand","value",0.747142857142857
"291","illustrious","value",0.674
"292","rotten","value",0.4425
"293","wild","value",0.636428571428571
"294","bad","value",0.71625
"295","dulcet","value",0.608666666666667
"296","fantastic","value",0.6725
"297","fun","value",0.872857142857143
"298","horrid","value",0.553333333333333
"299","just","value",0.60125
"300","nifty","value",0.621538461538461
"301","poor","value",0.53
"302","right","value",0.637777777777778
"303","neat","value",0.582727272727273
"304","regular","value",0.651111111111111
"305","yucky","value",0.711666666666667
"306","beautiful","value",0.935714285714286
"307","gorgeous","value",0.891666666666667
