adj,freq,sem_class,mean dis,subjectivity,age,p/d
little,323,dimension,0.44680851063829785,0.413571428571429,3,child-directed
exciting,2,value,1.0,0.695454545454545,3,child-directed
damp,3,physical,0.0,0.485384615384615,3,child-directed
comfy,1,value,0.0,0.789090909090909,3,child-directed
long,28,dimension,0.21212121212121213,0.556428571428571,3,child-directed
next,5,temporal,0.6,0.281,3,child-directed
white,18,color,0.2631578947368421,0.281428571428571,3,child-directed
empty,1,physical,1.0,0.371428571428571,3,child-directed
wicked,4,human,0.0,0.674444444444444,3,child-directed
flat,4,dimension,0.0,0.256,3,child-directed
head,1,other,0.0,0.288,3,child-directed
clever,2,human,0.5,0.640909090909091,3,child-directed
innocent,2,human,0.0,0.598461538461538,3,child-directed
sore,1,other,0.0,0.69,3,child-directed
warm,12,physical,0.75,0.6675,3,child-directed
true,1,other,1.0,0.362727272727273,3,child-directed
east,1,location,0.0,0.202222222222222,3,child-directed
double,1,other,0.0,0.053,3,child-directed
pretend,2,other,0.0,0.435,3,child-directed
smooth,1,physical,0.0,0.59875,3,child-directed
grey,2,color,0.0,0.2810714285714285,3,child-directed
neat,6,value,0.16666666666666666,0.582727272727273,3,child-directed
thin,5,dimension,0.4,0.571538461538462,3,child-directed
light,3,physical,0.3333333333333333,0.562,3,child-directed
fun,18,value,0.6111111111111112,0.872857142857143,3,child-directed
happy,14,human,0.8571428571428571,0.43,3,child-directed
beautiful,22,value,0.7307692307692307,0.935714285714286,3,child-directed
weensie,1,dimension,0.0,0.763125,3,child-directed
high,5,location,0.0,0.428181818181818,3,child-directed
ready,4,other,1.0,0.555555555555556,3,child-directed
sharp,1,physical,0.0,0.417272727272727,3,child-directed
pink,3,color,0.3333333333333333,0.1075,3,child-directed
huge,10,dimension,0.5833333333333334,0.624285714285714,3,child-directed
different,3,other,0.8181818181818182,0.771428571428571,3,child-directed
waterproof,1,physical,0.0,0.192307692307692,3,child-directed
same,4,other,1.0,0.30875,3,child-directed
hot,22,physical,0.3181818181818182,0.403,3,child-directed
sick,1,other,1.0,0.344285714285714,3,child-directed
grand,1,value,1.0,0.747142857142857,3,child-directed
silly,1,human,1.0,0.655,3,child-directed
yucky,2,value,0.6666666666666666,0.711666666666667,3,child-directed
nice,179,value,0.9289340101522843,0.725833333333333,3,child-directed
poor,25,value,1.0,0.53,3,child-directed
even,8,other,1.0,0.427142857142857,3,child-directed
bald,1,physical,0.0,0.182222222222222,3,child-directed
vicious,3,human,1.0,0.642142857142857,3,child-directed
mad,1,human,1.0,0.554285714285714,3,child-directed
fresh,6,age,0.3333333333333333,0.448181818181818,3,child-directed
fierce,1,human,0.0,0.71,3,child-directed
short,2,dimension,0.6666666666666666,0.54,3,child-directed
third,11,temporal,0.0,0.180833333333333,3,child-directed
loud,3,physical,0.0,0.48,3,child-directed
steady,4,other,0.0,0.537142857142857,3,child-directed
hungry,1,human,1.0,0.473333333333333,3,child-directed
green,76,color,0.012987012987012988,0.208461538461538,3,child-directed
clean,5,physical,0.0,0.589230769230769,3,child-directed
english,1,nationality,0.0,0.191111111111111,3,child-directed
tall,5,dimension,0.0,0.675882352941176,3,child-directed
weeny,6,dimension,0.0,0.77,3,child-directed
heavy,1,physical,0.0,0.5725,3,child-produced
cute,4,value,1.0,0.787272727272727,3,child-produced
own,3,other,0.6666666666666666,0.253333333333333,3,child-produced
old,19,age,0.17391304347826086,0.646666666666667,3,child-produced
just,6,value,0.7142857142857143,0.60125,3,child-produced
dandy,3,value,0.0,0.729230769230769,3,child-produced
weensie,8,dimension,0.0,0.763125,3,child-produced
thin,1,dimension,0.0,0.571538461538462,3,child-produced
hard,1,physical,0.0,0.428181818181818,3,child-produced
back,1,location,1.0,0.297142857142857,3,child-produced
yellow,6,color,0.3333333333333333,0.343333333333333,3,child-produced
high,3,location,0.0,0.428181818181818,3,child-produced
whole,1,other,1.0,0.353636363636364,3,child-produced
pink,1,color,1.0,0.1075,3,child-produced
dumb,1,human,1.0,0.794444444444445,3,child-produced
long,15,dimension,0.13333333333333333,0.556428571428571,3,child-produced
ready,3,other,1.0,0.555555555555556,3,child-produced
sharp,3,physical,0.25,0.417272727272727,3,child-produced
still,1,other,1.0,0.226666666666667,3,child-produced
wan,1,color,1.0,0.63125,3,child-produced
blue,8,color,0.125,0.346666666666667,3,child-produced
huge,6,dimension,0.3333333333333333,0.624285714285714,3,child-produced
little,115,dimension,0.46875,0.413571428571429,3,child-produced
eensie,8,dimension,1.0,0.7175,3,child-produced
giant,1,dimension,0.0,0.622222222222222,3,child-produced
horrid,1,value,1.0,0.553333333333333,3,child-produced
itsy,1,dimension,1.0,0.656666666666667,3,child-produced
naughty,1,human,1.0,0.723,3,child-produced
silly,1,human,0.0,0.655,3,child-produced
tiny,40,dimension,0.2926829268292683,0.414444444444444,3,child-produced
next,2,temporal,0.0,0.281,3,child-produced
teeny,13,dimension,0.8461538461538461,0.531818181818182,3,child-produced
wicked,1,human,1.0,0.674444444444444,3,child-produced
hot,2,physical,0.0,0.403,3,child-produced
black,1,color,0.0,0.269,3,child-produced
naked,1,other,1.0,0.418571428571429,3,child-produced
pretty,6,value,0.6666666666666666,0.863333333333333,3,child-produced
sweet,3,physical,1.0,0.724666666666667,3,child-produced
orange,1,color,0.0,0.301538461538462,3,child-produced
new,6,age,0.42857142857142855,0.265,3,child-produced
white,4,color,0.0,0.281428571428571,3,child-produced
yucky,1,value,0.0,0.711666666666667,3,child-produced
red,5,color,0.6,0.174166666666667,3,child-produced
nice,22,value,0.9259259259259259,0.725833333333333,3,child-produced
poor,1,value,1.0,0.53,3,child-produced
brown,6,color,0.16666666666666666,0.29875,3,child-produced
good,3,value,0.3333333333333333,0.78125,3,child-produced
sick,2,other,0.5,0.344285714285714,3,child-produced
happy,2,human,1.0,0.43,3,child-produced
big,98,dimension,0.79,0.691666666666667,3,child-produced
even,1,other,1.0,0.427142857142857,3,child-produced
kind,1,human,1.0,0.73875,3,child-produced
fat,9,dimension,0.5555555555555556,0.619375,3,child-produced
small,9,dimension,0.0,0.513,3,child-produced
slow,1,speed,1.0,0.504285714285714,3,child-produced
bitsy,1,dimension,0.0,0.66,3,child-produced
dead,1,human,1.0,0.14,3,child-produced
same,1,other,1.0,0.30875,3,child-produced
awful,1,value,1.0,0.641666666666667,3,child-produced
nasty,1,value,0.0,0.757142857142857,3,child-produced
strong,5,physical,0.2,0.64375,3,child-produced
super,2,value,1.0,0.770833333333333,3,child-produced
handy,3,value,1.0,0.674166666666667,3,child-produced
real,1,other,0.0,0.241428571428571,3,child-produced
great,8,value,1.0,0.838,3,child-produced
wet,1,physical,1.0,0.5275,3,child-produced
wooden,1,material,0.0,0.255454545454545,3,child-produced
plain,3,value,1.0,0.571428571428571,3,child-produced
steady,3,other,0.0,0.537142857142857,3,child-produced
large,5,dimension,0.0,0.548181818181818,3,child-produced
ugly,1,value,0.0,0.729166666666667,3,child-produced
bad,27,value,0.3333333333333333,0.71625,3,child-produced
stupid,6,human,1.0,0.6575,3,child-produced
green,8,color,0.125,0.208461538461538,3,child-produced
dirty,2,physical,0.0,0.504,3,child-produced
clean,5,physical,0.0,0.589230769230769,3,child-produced
light,2,physical,0.0,0.562,3,child-produced
fun,8,value,0.625,0.872857142857143,3,child-produced
mean,3,human,1.0,0.712727272727273,3,child-produced
soft,1,physical,0.0,0.572222222222222,3,child-produced
round,1,shape,0.0,0.23875,3,child-produced
south,1,location,0.0,0.232,3,child-produced
weeny,7,dimension,0.0,0.77,3,child-produced
