adj,freq,sem_class,mean dis,subjectivity,age,p/d
large,1,dimension,0.0,0.548181818181818,2,child-produced
bad,47,value,0.0425531914893617,0.71625,2,child-produced
stupid,1,human,1.0,0.6575,2,child-produced
small,4,dimension,0.0,0.513,2,child-produced
round,5,shape,0.0,0.23875,2,child-produced
mean,1,human,0.0,0.712727272727273,2,child-produced
heavy,1,physical,0.0,0.5725,2,child-produced
old,15,age,0.23529411764705882,0.646666666666667,2,child-produced
fair,2,human,1.0,0.634166666666667,2,child-produced
fluffy,3,physical,0.0,0.573333333333333,2,child-produced
hard,2,physical,0.0,0.428181818181818,2,child-produced
back,1,location,0.5,0.297142857142857,2,child-produced
past,1,temporal,0.0,0.277692307692308,2,child-produced
dear,21,value,1.0,0.61,2,child-produced
close,1,location,0.0,0.629230769230769,2,child-produced
blue,24,color,0.20833333333333334,0.346666666666667,2,child-produced
eensie,15,dimension,1.0,0.7175,2,child-produced
purple,1,color,1.0,0.2405,2,child-produced
haired,1,material,0.0,0.324615384615385,2,child-produced
jolly,1,human,1.0,0.675714285714286,2,child-produced
teeny,1,dimension,0.0,0.531818181818182,2,child-produced
dutch,1,nationality,0.0,0.383333333333333,2,child-produced
new,13,age,0.15384615384615385,0.265,2,child-produced
red,36,color,0.13513513513513514,0.174166666666667,2,child-produced
posh,3,value,0.0,0.654666666666667,2,child-produced
french,1,nationality,0.0,0.278888888888889,2,child-produced
merry,3,human,1.0,0.72,2,child-produced
precious,1,value,1.0,0.755,2,child-produced
strong,3,physical,0.0,0.64375,2,child-produced
dry,1,physical,0.0,0.3375,2,child-produced
scary,2,value,0.0,0.723333333333333,2,child-produced
great,23,value,1.0,0.838,2,child-produced
last,1,temporal,0.0,0.39,2,child-produced
whole,3,other,0.6666666666666666,0.353636363636364,2,child-produced
first,2,temporal,1.0,0.141818181818182,2,child-produced
naughty,4,human,1.0,0.723,2,child-produced
weensie,15,dimension,0.0,0.763125,2,child-produced
tiny,37,dimension,0.16216216216216217,0.414444444444444,2,child-produced
open,3,dimension,0.6666666666666666,0.422857142857143,2,child-produced
little,108,dimension,0.5132743362831859,0.413571428571429,2,child-produced
top,1,location,1.0,0.135714285714286,2,child-produced
long,9,dimension,0.2222222222222222,0.556428571428571,2,child-produced
next,2,temporal,0.0,0.281,2,child-produced
live,1,human,1.0,0.174615384615385,2,child-produced
white,29,color,0.06896551724137931,0.281428571428571,2,child-produced
happy,9,human,0.8888888888888888,0.43,2,child-produced
clever,5,human,1.0,0.640909090909091,2,child-produced
sore,1,other,1.0,0.69,2,child-produced
fellow,1,other,0.0,0.31,2,child-produced
grey,2,color,0.0,0.2810714285714285,2,child-produced
dirty,4,physical,0.0,0.504,2,child-produced
fun,8,value,0.5,0.872857142857143,2,child-produced
ripe,2,age,0.0,0.241666666666667,2,child-produced
sad,2,human,0.0,0.567777777777778,2,child-produced
high,2,location,0.0,0.428181818181818,2,child-produced
ready,1,other,1.0,0.555555555555556,2,child-produced
sharp,3,physical,1.0,0.417272727272727,2,child-produced
pink,6,color,0.8333333333333334,0.1075,2,child-produced
huge,14,dimension,0.0,0.624285714285714,2,child-produced
different,1,other,1.0,0.771428571428571,2,child-produced
itsy,4,dimension,1.0,0.656666666666667,2,child-produced
hot,2,physical,0.0,0.403,2,child-produced
sick,1,other,1.0,0.344285714285714,2,child-produced
nice,36,value,0.9210526315789473,0.725833333333333,2,child-produced
poor,30,value,0.43333333333333335,0.53,2,child-produced
pokey,2,other,0.0,0.66125,2,child-produced
wrong,1,value,0.0,0.452222222222222,2,child-produced
bitsy,4,dimension,0.0,0.66,2,child-produced
tall,5,dimension,0.0,0.675882352941176,2,child-produced
short,1,dimension,0.0,0.54,2,child-produced
light,5,physical,1.0,0.562,2,child-produced
hungry,2,human,0.5,0.473333333333333,2,child-produced
concrete,2,material,0.0,0.302857142857143,2,child-produced
green,17,color,0.1111111111111111,0.208461538461538,2,child-produced
fresh,2,age,0.5,0.448181818181818,2,child-produced
