word,av.distance,overlap,age,child p or d
clever,0.0,0,3,directed
cross,0.0,0,3,directed
hot,0.35714285714285715,0,3,directed
cosy,0.0,0,3,directed
sick,1.0,0,3,directed
grand,1.0,0,3,directed
nice,0.9402985074626866,0,3,directed
poor,1.0,0,3,directed
blue,0.0,1,3,directed
shade,0.0,0,3,directed
flip,1.0,0,3,directed
neat,0.25,0,3,directed
rain,0.0,0,3,directed
flower,0.0,0,3,directed
tall,0.0,0,3,directed
fierce,0.0,0,3,directed
puss,0.0,0,3,directed
third,0.0,0,3,directed
loud,1.0,0,3,directed
cheek,1.0,0,3,directed
steady,0.0,0,3,directed
fresh,0.3333333333333333,0,3,directed
green,0.2222222222222222,1,3,directed
clean,0.5,0,3,directed
english,0.0,1,3,directed
innocent,0.0,0,3,directed
weeny,0.0,0,3,directed
cute,1.0,0,3,produced
soggy,1.0,0,3,produced
just,1.0,0,3,produced
yellow,0.3333333333333333,1,3,produced
own,0.6666666666666666,0,3,produced
skin,0.0,0,3,produced
still,1.0,0,3,produced
nasty,0.0,0,3,produced
black,0.0,1,3,produced
pretty,0.8,0,3,produced
sweet,1.0,1,3,produced
real,1.0,0,3,produced
dandy,0.0,0,3,produced
good,0.42857142857142855,0,3,produced
big,0.7931034482758621,0,3,produced
fat,0.5,0,3,produced
bit,0.0,0,3,produced
handy,1.0,0,3,produced
wooden,0.0,1,3,produced
large,0.0,1,3,produced
bad,0.25,0,3,produced
stupid,1.0,0,3,produced
quick,0.0,0,3,produced
soft,0.0,0,3,produced
round,0.0,0,3,produced
mean,1.0,0,3,produced
heavy,0.0,0,3,produced
old,0.09523809523809523,1,3,produced
upstairs,0.0,0,3,produced
back,1.0,0,3,produced
dumb,1.0,0,3,produced
creep,1.0,0,3,produced
wonder,1.0,0,3,produced
blue,0.0,1,3,produced
eensie,1.0,0,3,produced
horrid,1.0,0,3,produced
slick,0.0,0,3,produced
teeny,1.0,0,3,produced
rotten,0.0,0,3,produced
new,0.25,1,3,produced
red,0.5,1,3,produced
full,0.0,0,3,produced
dirt,1.0,0,3,produced
small,0.0,0,3,produced
strong,0.3333333333333333,0,3,produced
great,1.0,0,3,produced
whole,1.0,0,3,produced
south,0.0,0,3,produced
first,1.0,0,3,produced
teenage,0.0,0,3,produced
naughty,1.0,0,3,produced
love,0.0,0,3,produced
weensie,0.0,0,3,produced
tiny,0.23809523809523808,0,3,produced
wan,1.0,0,3,produced
little,0.5178571428571429,0,3,produced
long,0.16666666666666666,1,3,produced
next,0.0,0,3,produced
white,0.0,1,3,produced
wicked,0.3333333333333333,0,3,produced
yuck,0.0,0,3,produced
flap,0.0,0,3,produced
wet,1.0,0,3,produced
crawl,0.0,0,3,produced
plain,1.0,1,3,produced
flip,1.0,0,3,produced
ugly,0.0,0,3,produced
silly,0.0,0,3,produced
thin,0.0,1,3,produced
fun,0.75,0,3,produced
beautiful,0.0,0,3,produced
stink,1.0,0,3,produced
brown,0.0,0,3,produced
high,0.0,0,3,produced
fashioned,1.0,0,3,produced
ready,1.0,0,3,produced
sharp,0.0,0,3,produced
craze,1.0,0,3,produced
pink,1.0,0,3,produced
huge,0.0,0,3,produced
itsy,1.0,0,3,produced
cross,0.0,0,3,produced
hot,0.75,0,3,produced
crummy,1.0,0,3,produced
sick,0.0,0,3,produced
ordinary,0.0,0,3,produced
smell,0.0,0,3,produced
nice,0.9230769230769231,0,3,produced
even,1.0,0,3,produced
mess,0.0,0,3,produced
bitsy,0.0,0,3,produced
cheek,1.0,0,3,produced
steady,0.0,0,3,produced
wink,0.0,0,3,produced
green,0.0,1,3,produced
clean,0.0,0,3,produced
wine,0.0,0,3,produced
weeny,0.0,0,3,produced
