adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,strings
high,5,location,0.428181818,input,0.174404053,0.77025463,0.523572388,0.349168334,3,"big high ,big high ,big high ,big high ,big high ,"
pink,3,color,0.1075,input,0.081688596,0.375,0.093475877,0.011787281,3,"pink tubby ,nice pink ,beautiful pink ,"
dumb,N/A,human,0.794444444,N/A,0,0.5,0.5,0.5,3,
tiny,39,dimension,0.414444444,sub,-0.136664409,0.131940769,0.00478462,0.141449029,3,"little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,tiny little ,tiny little ,little tiny ,little tiny ,tiny little ,little tiny ,tiny green ,little tiny ,little tiny ,tiny little ,tiny little ,tiny little ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny little ,little tiny ,little tiny ,little tiny ,teeny tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,little tiny ,tiny light ,little tiny ,"
dirty,6,physical,0.504,lexical,0.099378973,0.12755102,0.510428249,0.411049275,3,"little dirty ,just dirty ,dirty rotten ,dirty rotten ,dirty rotten ,dirty rotten ,"
sharp,1,physical,0.417272727,input,0.015269837,0.421875,0.363773272,0.348503435,3,"little sharp ,"
kind,N/A,human,0.73875,N/A,0,0.5,0.5,0.5,3,
blue,22,color,0.346666667,lexical,0.100711561,0.164683637,0.371031605,0.270320044,3,"blue purple ,blue purple ,blue purple ,little blue ,little blue ,new blue ,little blue ,little blue ,blue purple ,little blue ,blue purple ,new blue ,blue purple ,blue purple ,little blue ,big blue ,little blue ,little blue ,nice blue ,little blue ,little blue ,little blue ,"
huge,10,dimension,0.624285714,lexical,0.073413775,0.234375,0.236947546,0.163533771,3,"big huge ,big huge ,big huge ,huge big ,huge wooden ,huge wooden ,huge wooden ,huge big ,great huge ,big huge ,"
little,308,dimension,0.413571429,lexical,0.069189,0.066344238,0.069189167,1.67E-07,3,"little thin ,good little ,good little ,fun little ,little tiny ,good little ,fun little ,little yellow ,sorry little ,good little ,little short ,little tiny ,little green ,good little ,little tiny ,nice little ,weird little ,cute little ,nice little ,little round ,little wooden ,nice little ,little damp ,little dirty ,naughty little ,naughty little ,naughty little ,little yellow ,little yellow ,sweet little ,little east ,little small ,good little ,little orange ,little orange ,sweet little ,little black ,little blue ,little wooden ,little blue ,little red ,sweet little ,sweet little ,nice little ,nice little ,little wooden ,little round ,little white ,mean little ,nice little ,little blue ,little black ,beautiful little ,little damp ,little blue ,sweet little ,little yellow ,little round ,little blue ,little yellow ,little bald ,sweet little ,nice little ,little fluffy ,sweet little ,sweet little ,little black ,little green ,little wooden ,little red ,little wooden ,little fluffy ,beautiful little ,little black ,little wooden ,little wooden ,little yellow ,little damp ,nice little ,little round ,little round ,fun little ,nice little ,little white ,little white ,little blue ,little blue ,little old ,nice little ,sweet little ,little blue ,little wooden ,tiny little ,little fluffy ,beautiful little ,nice little ,little silver ,little wooden ,little gold ,nice little ,little brown ,little brown ,little brown ,little yellow ,little white ,sweet little ,little wooden ,little wooden ,nice little ,poor little ,nice little ,little round ,poor little ,little black ,little tiny ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,tiny little ,nice little ,little grey ,little green ,tiny little ,poor little ,little innocent ,little innocent ,nice little ,nice little ,little teeny ,little tiny ,little teeny ,little teeny ,little tiny ,tiny little ,little tiny ,little red ,little red ,little red ,little green ,wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,wee little ,little green ,little green ,smart little ,poor little ,poor little ,little green ,little green ,little round ,little golden ,little green ,hungry little ,little small ,little red ,little red ,little round ,little green ,teeny little ,little red ,nice little ,little round ,good little ,good little ,good little ,good little ,good little ,smart little ,fun little ,nifty little ,little sharp ,cute little ,wee little ,rough little ,fun little ,little big ,rough little ,little tiny ,nice little ,poor little ,nice little ,nice little ,poor little ,good little ,good little ,little young ,poor little ,little old ,little good ,just little ,nice little ,nice little ,nice little ,nice little ,little red ,clever little ,poor little ,slippery little ,poor little ,nice little ,poor little ,poor little ,pretty little ,new little ,little red ,little white ,little tiny ,little red ,tiny little ,tiny little ,tiny little ,pretty little ,little tiny ,cute little ,pretty little ,little blue ,little tiny ,little blue ,little blue ,neat little ,nice little ,little white ,little white ,little black ,poor little ,little tiny ,new little ,nice little ,little green ,little tiny ,little tiny ,poor little ,little black ,fun little ,good little ,little dulcet ,dear little ,nice little ,good little ,nice little ,nice little ,little tiny ,nice little ,nice little ,dear little ,nice little ,little red ,good little ,good little ,little cute ,nice little ,good little ,good little ,cute little ,ancient little ,good little ,black little ,cute little ,cute little ,good little ,cute little ,cute little ,cute little ,good little ,good little ,good little ,good little ,good little ,little dark ,little tiny ,fun little ,little yellow ,little tiny ,nice little ,nice little ,old little ,cute little ,little tiny ,just little ,nice little ,new little ,new little ,tiny little ,little tiny ,little tiny ,little tiny ,nice little ,nice little ,little tiny ,little tiny ,little tiny ,nice little ,little tiny ,little tiny ,nice little ,nice little ,little tiny ,little tiny ,small little ,"
eensie,1,dimension,0.7175,input,-0.047498113,0.100112915,0.003738356,0.051236469,3,"eensie weensie ,"
horrid,N/A,value,0.553333333,N/A,0,0.5,0.5,0.5,3,
itsy,N/A,dimension,0.656666667,N/A,0,0.5,0.5,0.5,3,
green,76,color,0.208461538,lexical,0.04706985,0.049632281,0.350651544,0.303581695,3,"little green ,silly green ,big green ,nice green ,big green ,pretty green ,pretty green ,little green ,special green ,big green ,beautiful green ,beautiful green ,pretty green ,little green ,nice green ,nice green ,nice green ,nice green ,little green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,little green ,nice green ,nice green ,nice green ,tiny green ,fresh green ,nice green ,nice green ,nice green ,nice green ,nice green ,little green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,little green ,little green ,nice green ,nice green ,little green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,little green ,nice green ,nice green ,nice green ,nice green ,nice green ,yellow green ,yellow green ,good green ,big green ,little green ,"
long,26,dimension,0.556428571,input,-0.002068845,0.2835071,0.005870053,0.007938898,3,"big long ,long cold ,big long ,big long ,narrow long ,narrow long ,long thin ,short long ,long thin ,long tall ,pretty long ,nice long ,great long ,big long ,pretty long ,nice long ,big long ,big long ,nice long ,nice long ,nice long ,nice long ,big long ,big long ,beautiful long ,new long ,"
next,5,temporal,0.281,sub,-0.07546652,0.416666667,0.823271131,0.898737651,3,"new next ,new next ,next small ,next big ,next happy ,"
teeny,12,dimension,0.531818182,input,0.003875398,0.087269851,0.009059067,0.005183669,3,"nice teeny ,little teeny ,little teeny ,little teeny ,teeny little ,teeny weeny ,teeny weeny ,teeny weeny ,teeny weeny ,teeny weeny ,teeny weeny ,teeny tiny ,"
hot,22,physical,0.403,lexical,0.007906631,0.45415879,0.513147996,0.505241366,3,"hot last ,hot last ,nice hot ,nice hot ,nice hot ,nice hot ,nice hot ,hot last ,hot last ,hot last ,nice hot ,nice hot ,nice hot ,nice hot ,nice hot ,hot last ,nice hot ,hot last ,nice hot ,nice hot ,fresh hot ,fresh hot ,"
black,11,color,0.269,sub,-0.001101322,0.875,0.908314978,0.9094163,3,"little black ,little black ,small black ,beautiful black ,little black ,little black ,little black ,little black ,bright black ,little black ,black little ,"
pretty,67,value,0.863333333,lexical,0.106210548,0.017453519,0.199428937,0.093218389,3,"pretty hard ,pretty good ,pretty good ,pretty small ,pretty full ,pretty good ,pretty big ,pretty good ,pretty pathetic ,pretty good ,pretty good ,pretty green ,pretty green ,pretty good ,pretty green ,pretty long ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,nice pretty ,pretty good ,pretty little ,pretty fun ,pretty little ,pretty little ,pretty long ,pretty big ,pretty big ,pretty brown ,pretty good ,pretty good ,pretty good ,awful pretty ,pretty mean ,pretty good ,pretty good ,pretty big ,pretty big ,pretty good ,pretty big ,pretty good ,pretty good ,pretty nice ,pretty good ,pretty nice ,pretty nice ,pretty nice ,pretty nice ,pretty good ,pretty good ,pretty fun ,pretty neat ,pretty neat ,pretty strong ,pretty nice ,pretty good ,pretty neat ,pretty cool ,pretty cool ,pretty cool ,pretty neat ,pretty neat ,pretty nice ,"
sweet,11,physical,0.724666667,input,-0.312066815,0.669921875,0.023141075,0.33520789,3,"sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,sweet little ,nice sweet ,"
orange,5,color,0.301538462,lexical,0.01701427,0.75,0.906970362,0.889956092,3,"brown orange ,little orange ,little orange ,orange light ,big orange ,"
new,19,age,0.265,lexical,0.211095184,0.161801547,0.289743295,0.078648112,3,"new next ,new next ,new blue ,new blue ,big new ,big new ,nice new ,horrible new ,new little ,beautiful new ,new little ,new clean ,new clean ,nice new ,new little ,new little ,big new ,nice new ,new long ,"
white,18,color,0.281428571,lexical,0.024645942,0.339201376,0.685433073,0.660787131,3,"big white ,white clean ,white fluffy ,little white ,white fluffy ,white fluffy ,little white ,little white ,big white ,big white ,big white ,big white ,little white ,nice white ,little white ,little white ,little white ,yellow white ,"
yucky,2,value,0.711666667,sub,-0.132876712,0.166666667,0.177534247,0.310410959,3,"yucky old ,yucky old ,"
red,23,color,0.174166667,lexical,0.004724065,8.67E-05,0.005844964,0.001120899,3,"big red ,little red ,little red ,big red ,little red ,little red ,little red ,little red ,little red ,little red ,little red ,big red ,little red ,big red ,little red ,big red ,big red ,big red ,big red ,big red ,little red ,big red ,big red ,"
nice,178,value,0.725833333,input,0.192909823,0.279833271,0.215488848,0.022579025,3,"nice cool ,nice big ,nice little ,nice big ,nice big ,nice soft ,nice little ,nice bright ,nice teeny ,nice soft ,nice little ,nice warm ,nice yellow ,nice bright ,nice green ,nice wooden ,jolly nice ,nice little ,nice little ,jolly nice ,jolly nice ,jolly nice ,nice wooden ,nice little ,nice bright ,jolly nice ,nice little ,nice yellow ,nice fresh ,nice hot ,nice big ,nice wooden ,nice hot ,nice hot ,nice hot ,nice big ,nice little ,nice wooden ,nice hot ,jolly nice ,nice little ,nice hot ,nice little ,nice hot ,nice hot ,nice hot ,nice hot ,nice smart ,nice smart ,nice smooth ,nice clean ,nice hot ,nice warm ,nice little ,nice little ,nice hot ,nice blue ,nice little ,nice soft ,nice smart ,nice little ,nice pink ,nice new ,nice little ,nice little ,nice little ,nice cozy ,nice round ,nice fun ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice green ,nice green ,nice beautiful ,awful nice ,nice flat ,nice white ,nice little ,nice little ,nice little ,nice pretty ,nice little ,nice little ,nice little ,nice little ,nice little ,nice long ,nice beautiful ,nice warm ,nice beautiful ,nice soft ,nice soft ,nice little ,nice big ,nice quiet ,nice little ,nice big ,nice clean ,nice hot ,nice brown ,nice long ,nice long ,nice long ,nice little ,nice comfy ,nice little ,nice little ,nice long ,nice little ,nice little ,pretty nice ,nice little ,pretty nice ,pretty nice ,pretty nice ,nice little ,nice new ,pretty nice ,nice long ,nice little ,nice little ,nice little ,pretty nice ,nice little ,nice little ,nice new ,nice little ,nice little ,nice little ,nice dutch ,nice sweet ,pretty nice ,nice yellow ,"
poor,25,value,0.53,input,0.359045505,0.980769231,0.826581576,0.467536071,3,"poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor little ,poor old ,poor old ,poor little ,poor old ,"
dandy,N/A,value,0.729230769,N/A,0,0.125,0.125,0.125,3,
weeny,6,dimension,0.77,input,0.008049636,0.595260708,0.008117809,6.82E-05,3,"teeny weeny ,teeny weeny ,teeny weeny ,teeny weeny ,teeny weeny ,teeny weeny ,"
good,78,value,0.78125,input,-0.026484545,0.213467393,0.026739449,0.053223994,3,"good last ,good little ,good little ,good little ,good little ,pretty good ,pretty good ,pretty good ,good little ,pretty good ,pretty good ,pretty good ,good little ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,jolly good ,pretty good ,good english ,pretty good ,pretty good ,pretty good ,pretty good ,good little ,good little ,good little ,good little ,good little ,pretty good ,pretty good ,good little ,good little ,pretty good ,little good ,good last ,pretty good ,perfect good ,good green ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good little ,good little ,pretty good ,pretty good ,pretty good ,good big ,good big ,good wicked ,good wicked ,good big ,pretty good ,good little ,good big ,good little ,good wicked ,good wicked ,good little ,good little ,good little ,good little ,good little ,good little ,good little ,good little ,good little ,good big ,good big ,pretty good ,pretty good ,pretty good ,good french ,good big ,"
happy,14,human,0.43,input,-0.046284814,0.694444444,0.044744033,0.091028848,3,"big happy ,happy third ,happy third ,happy third ,happy third ,happy third ,happy third ,happy third ,happy third ,happy third ,happy third ,happy third ,happy fun ,next happy ,"
big,220,dimension,0.691666667,sub,-0.017414488,1.12E-06,1.20E-09,0.017414489,3,"big long ,big large ,big large ,big large ,big old ,pretty big ,big loud ,great big ,great big ,great big ,big loud ,nice big ,great big ,great big ,nice big ,nice big ,big long ,big flat ,big long ,big flat ,big flat ,big white ,big green ,big happy ,big red ,big plastic ,great big ,big brown ,big brown ,big huge ,big strong ,big green ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big yellow ,big huge ,big huge ,big high ,big tall ,big brown ,great big ,big fluffy ,great big ,big yellow ,nice big ,big brown ,big bright ,big bright ,big fluffy ,nice big ,big high ,big red ,big orange ,big high ,big green ,big blue ,great big ,great big ,big fat ,great big ,big white ,huge big ,big yellow ,great big ,beautiful big ,big brown ,big white ,big white ,big white ,big high ,big fast ,big high ,beautiful big ,beautiful big ,big bad ,big round ,great big ,big bad ,great big ,great big ,great big ,great big ,big new ,big new ,great big ,big bad ,big bad ,mean big ,big tall ,big fun ,big fun ,big brown ,big loud ,big brown ,great big ,big brown ,big brown ,big brown ,great big ,great big ,big brown ,big brown ,great big ,big brown ,great big ,big brown ,great big ,big brown ,big brown ,big brown ,great big ,great big ,big brown ,great big ,big brown ,great big ,big brown ,great big ,great big ,big brown ,big brown ,big brown ,great big ,big brown ,great big ,big brown ,great big ,great big ,big brown ,great big ,big brown ,great big ,big brown ,great big ,big brown ,great big ,great big ,big beautiful ,great big ,big heavy ,big open ,little big ,awful big ,great big ,great big ,great big ,great big ,great big ,great big ,big fierce ,big old ,great big ,big round ,big round ,great big ,big red ,great big ,big red ,great big ,great big ,great big ,great big ,big long ,great big ,great big ,great big ,great big ,big red ,big red ,big red ,nice big ,big red ,pretty big ,pretty big ,big plastic ,big green ,nice big ,big fat ,big fat ,great big ,great big ,great big ,big long ,big long ,great big ,big red ,huge big ,great big ,great big ,big heavy ,pretty big ,pretty big ,pretty big ,big bad ,good big ,good big ,good big ,good big ,big huge ,good big ,good big ,big red ,big long ,big long ,big heavy ,big heavy ,fun big ,next big ,big back ,big new ,good big ,big red ,great big ,great big ,great big ,"
wet,N/A,physical,0.5275,N/A,0,0.5,0.5,0.5,3,
giant,N/A,dimension,0.622222222,N/A,0,0.5,0.5,0.5,3,
fat,3,dimension,0.619375,sub,-0.014333201,0.002253994,0.244715128,0.259048329,3,"big fat ,big fat ,big fat ,"
fun,18,value,0.872857143,input,0.077984802,0.279790015,0.114298302,0.0363135,3,"fun little ,fun little ,fun old ,fun little ,big fun ,nice fun ,big fun ,fun little ,happy fun ,fun little ,pretty fun ,fun little ,fun old ,fun last ,fun little ,fun big ,pretty fun ,super fun ,"
slow,N/A,speed,0.504285714,N/A,0,0.5,0.5,0.5,3,
bitsy,N/A,dimension,0.66,N/A,0,0.5,0.5,0.5,3,
dead,1,human,0.14,input,0.17524644,0.25,0.213581599,0.038335159,3,"old dead ,"
awful,3,value,0.641666667,input,0.187225877,0.875,0.822642544,0.635416667,3,"awful nice ,awful big ,awful pretty ,"
nasty,N/A,value,0.757142857,N/A,0,0.5,0.5,0.5,3,
strong,3,physical,0.64375,lexical,0.315583156,0.366363525,0.371715846,0.05613269,3,"big strong ,mean strong ,pretty strong ,"
super,7,value,0.770833333,lexical,0.121162375,0.03515625,0.677907937,0.556745562,3,"american super ,american super ,american super ,american super ,american super ,american super ,super fun ,"
handy,N/A,value,0.674166667,N/A,0,0.125,0.125,0.125,3,
great,68,value,0.838,input,-0.198189688,0.943478148,0.235332403,0.433522091,3,"great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great long ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great huge ,great big ,great big ,great big ,"
wooden,18,material,0.255454545,lexical,0.080707573,0.973684211,0.993642897,0.912935323,3,"little wooden ,nice wooden ,little wooden ,little wooden ,nice wooden ,little wooden ,little wooden ,nice wooden ,little wooden ,little wooden ,nice wooden ,little wooden ,little wooden ,little wooden ,little wooden ,huge wooden ,huge wooden ,huge wooden ,"
light,3,physical,0.562,lexical,0.242072756,0.390625,0.509924403,0.267851647,3,"orange light ,light last ,tiny light ,"
large,3,dimension,0.548181818,input,-0.005310791,0.512908936,0.032116078,0.037426869,3,"big large ,big large ,big large ,"
ugly,N/A,value,0.729166667,N/A,0,0.5,0.5,0.5,3,
bad,5,value,0.71625,input,-0.000115214,0.000189694,2.36E-08,0.000115238,3,"big bad ,big bad ,big bad ,big bad ,big bad ,"
stupid,2,human,0.6575,input,-0.071315419,0.334897977,9.45E-05,0.071409927,3,"stupid old ,stupid old ,"
silly,1,human,0.655,lexical,0.423329682,0.25,0.786418401,0.363088719,3,"silly green ,"
thin,5,dimension,0.571538462,input,-0.008781559,0.583333333,0.502744237,0.511525796,3,"little thin ,long thin ,thin tall ,long thin ,thin tall ,"
clean,5,physical,0.589230769,input,0.154906601,0.647227849,0.185985462,0.031078861,3,"white clean ,nice clean ,nice clean ,new clean ,new clean ,"
plain,1,value,0.571428571,lexical,0.439427128,0.015625,0.55599859,0.116571462,3,"just plain ,"
small,9,dimension,0.513,sub,-0.016099447,0.000756681,0.002051969,0.018151417,3,"pretty small ,little small ,small black ,small gold ,small gold ,little small ,small brown ,next small ,small little ,"
wicked,4,human,0.674444444,sub,-0.444871092,0.1,0.213110258,0.657981349,3,"good wicked ,good wicked ,good wicked ,good wicked ,"
soft,5,physical,0.572222222,input,0.202799122,0.916666667,0.714324918,0.511525796,3,"nice soft ,nice soft ,nice soft ,nice soft ,nice soft ,"
round,13,shape,0.23875,lexical,0.055402426,0.964285714,0.981808159,0.926405733,3,"little round ,little round ,little round ,little round ,little round ,little round ,big round ,nice round ,little round ,little round ,little round ,big round ,big round ,"
south,N/A,location,0.232,N/A,0,0.5,0.5,0.5,3,
mean,4,human,0.712727273,input,-0.318540583,0.343,0.009678612,0.328219194,3,"mean little ,mean big ,mean strong ,pretty mean ,"
