adj,freq,class,subjectivity,best performing,difference lex-sub,input_score,lexical_score,sub_score,age,strings
orange,5,color,0.301538462,input,-0.044972402,0.425347222,0.201370153,0.246342554,4,"fresh orange ,big orange ,big orange ,orange green ,orange green ,"
new,7,age,0.265,lexical,0.099716296,0.010986328,0.119014505,0.019298209,4,"great new ,beautiful new ,pretty new ,pretty new ,pretty new ,strange new ,chinese new ,"
white,5,color,0.281428571,lexical,0.058237466,0.647227849,0.662096105,0.603858639,4,"soft white ,soft white ,little white ,soft white ,big white ,"
east,2,location,0.202222222,sub,-0.097710416,0.833333333,0.830054821,0.927765237,4,"english east ,english east ,"
red,33,color,0.174166667,input,0.044400825,0.216029514,0.087753479,0.043352654,4,"little red ,little red ,little red ,soft red ,soft red ,soft red ,soft red ,red ripe ,soft red ,soft red ,soft red ,soft red ,big red ,big red ,red wild ,little red ,big red ,little red ,little red ,little red ,big red ,red light ,red light ,big red ,little red ,little red ,little red ,big red ,little red ,big red ,little red ,little red ,big red ,"
nice,164,value,0.725833333,input,0.210737405,0.359858568,0.292689403,0.081951998,4,"nice cool ,nice cool ,nice fresh ,nice little ,nice soft ,nice thick ,nice clean ,nice little ,nice clean ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice soft ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice little ,nice little ,nice little ,nice little ,nice little ,nice little ,nice pretty ,nice long ,nice pretty ,nice little ,nice little ,nice little ,nice cool ,nice gentle ,nice quiet ,nice little ,nice delicious ,nice slow ,nice little ,nice fresh ,nice little ,nice little ,nice little ,nice little ,nice clean ,nice warm ,nice warm ,nice little ,nice big ,nice big ,nice big ,jolly nice ,jolly nice ,nice warm ,nice warm ,nice warm ,nice fluffy ,nice little ,nice fluffy ,jolly nice ,nice little ,nice warm ,nice little ,nice little ,nice warm ,nice warm ,nice little ,nice little ,jolly nice ,nice warm ,nice smart ,jolly nice ,nice warm ,nice little ,jolly nice ,nice warm ,nice little ,nice little ,nice warm ,jolly nice ,nice warm ,jolly nice ,nice little ,pretty nice ,nice little ,"
poor,26,value,0.53,input,0.452680025,0.9454669,0.539911975,0.08723195,4,"poor little ,poor little ,poor little ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor young ,poor little ,poor young ,poor young ,poor little ,poor old ,poor old ,poor little ,poor little ,poor little ,poor little ,poor little ,poor old ,poor little ,poor little ,poor little ,poor little ,"
brown,17,color,0.29875,sub,-0.017955069,0.035011574,0.029496372,0.047451442,4,"short brown ,small brown ,small brown ,small brown ,big brown ,big brown ,little brown ,awful brown ,big brown ,big brown ,big brown ,big brown ,big brown ,big brown ,brown little ,big brown ,big brown ,"
scary,1,value,0.723333333,input,-0.123106671,0.75,0.190783113,0.313889784,4,"top scary ,"
good,44,value,0.78125,input,-0.031758121,0.240474117,0.034368894,0.066127015,4,"pretty good ,good sad ,pretty good ,pretty good ,pretty good ,good smart ,good big ,pretty good ,good last ,pretty good ,pretty good ,pretty good ,good little ,good little ,good little ,good little ,good little ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,pretty good ,good hot ,good hot ,good hot ,good hot ,good hot ,good hot ,pretty good ,jolly good ,jolly good ,good little ,pretty good ,pretty good ,pretty good ,jolly good ,good little ,good last ,"
huge,6,dimension,0.624285714,input,0.067571937,0.642857143,0.51600388,0.448431943,4,"big huge ,big huge ,big huge ,big huge ,huge silver ,huge back ,"
big,148,dimension,0.691666667,sub,-0.011130459,0.007489859,2.35E-09,0.011130461,4,"pretty big ,pretty big ,big wooden ,little big ,big long ,pretty big ,big long ,big long ,big heavy ,great big ,big long ,big sharp ,big huge ,big bad ,big long ,beautiful big ,big yucky ,big old ,great big ,big long ,big loud ,big loud ,big blue ,big blue ,good big ,big wide ,big round ,big wide ,great big ,great big ,great big ,great big ,big happy ,big fat ,great big ,great big ,great big ,pretty big ,big hollow ,big beautiful ,big long ,big old ,big bad ,big round ,big beautiful ,big long ,great big ,big brown ,big huge ,big strong ,big strong ,great big ,big brown ,pretty big ,big tall ,big tall ,pretty big ,big huge ,great big ,big beautiful ,big brown ,big brown ,big brown ,big brown ,big blue ,big huge ,big fat ,pretty big ,pretty big ,big brown ,big brown ,great big ,big green ,big beautiful ,great big ,big beautiful ,big long ,pretty big ,great big ,big blue ,big brown ,big brown ,big red ,big red ,big long ,big bright ,big red ,big front ,big strong ,big old ,big bad ,great big ,great big ,big fat ,big old ,big long ,big red ,big fat ,big bad ,big bright ,big red ,big fantastic ,great big ,great big ,big red ,great big ,great big ,awful big ,great big ,big yellow ,big orange ,big orange ,big special ,big green ,big dead ,big hard ,big flat ,jolly big ,nice big ,nice big ,nice big ,jolly big ,big red ,big heavy ,big fluffy ,beautiful big ,big tall ,big old ,big fluffy ,big white ,great big ,big purple ,big fluffy ,big fluffy ,big fluffy ,big fluffy ,big blue ,big blue ,big yellow ,big red ,great big ,great big ,great big ,big yellow ,big long ,great big ,big fun ,big fun ,"
blue,11,color,0.346666667,sub,-0.194905492,0.186986275,0.024115086,0.219020578,4,"big blue ,big blue ,blue just ,big blue ,big blue ,big blue ,big blue ,blue purple ,little blue ,little blue ,little blue ,"
giant,N/A,dimension,0.622222222,N/A,0,0.5,0.5,0.5,4,
fat,4,dimension,0.619375,input,0.006013022,0.4782969,0.009737534,0.003724512,4,"big fat ,big fat ,big fat ,big fat ,"
quick,N/A,speed,0.561111111,N/A,0,0.5,0.5,0.5,4,
bitsy,1,dimension,0.66,input,0.154689011,0.75,0.515952304,0.361263294,4,"itsy bitsy ,"
mad,N/A,human,0.554285714,N/A,0,0.25,0.25,0.25,4,
awful,7,value,0.641666667,input,0.191200259,0.9375,0.810417341,0.619217082,4,"awful long ,awful brown ,awful bad ,awful bad ,awful long ,awful big ,awful hard ,"
last,13,temporal,0.39,input,0.101331601,0.964285714,0.845404352,0.744072751,4,"wrong last ,late last ,late last ,late last ,good last ,late last ,late last ,late last ,late last ,young last ,young last ,young last ,good last ,"
strong,3,physical,0.64375,input,0.00737723,0.134933814,0.007377749,5.19E-07,4,"big strong ,big strong ,big strong ,"
super,2,value,0.770833333,sub,-0.064495324,0.166666667,0.190583683,0.255079007,4,"super fun ,super fun ,"
sorry,N/A,human,0.68,N/A,0,0.5,0.5,0.5,4,
dead,1,human,0.14,sub,-0.140186916,0.75,0.809539156,0.949726072,4,"big dead ,"
cool,6,physical,0.678125,sub,-0.37795021,0.357142857,0.278693825,0.656644035,4,"nice cool ,cool alright ,nice cool ,pretty cool ,cool black ,nice cool ,"
wide,2,dimension,0.443,lexical,0.192196066,0.166666667,0.484037407,0.291841342,4,"big wide ,big wide ,"
great,46,value,0.838,input,-0.194131368,0.578923968,0.134877468,0.329008836,4,"alright great ,alright great ,great new ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great little ,great big ,great little ,great little ,great little ,great loud ,great loud ,great little ,great little ,great loud ,great little ,great little ,great loud ,great loud ,great loud ,great big ,great little ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great big ,great round ,great big ,great big ,great big ,great big ,"
short,5,dimension,0.54,sub,-0.03812601,0.416666667,0.515993538,0.554119548,4,"short purple ,short little ,short brown ,little short ,little short ,"
crisp,N/A,physical,0.614285714,N/A,0,0.5,0.5,0.5,4,
wooden,2,material,0.255454545,lexical,0.078039342,0.833333333,0.992905514,0.914866172,4,"big wooden ,little wooden ,"
light,3,physical,0.562,sub,-0.153468919,0.010017753,0.114742032,0.268210951,4,"little light ,red light ,red light ,"
grey,4,color,0.281071429,lexical,0.07248796,0.387420489,0.474792782,0.402304822,4,"little grey ,long grey ,soft grey ,old grey ,"
hot,9,physical,0.403,input,-0.019347884,0.7225,0.520903306,0.540251191,4,"beautiful hot ,regular hot ,good hot ,good hot ,good hot ,good hot ,hot english ,good hot ,good hot ,"
french,2,nationality,0.278888889,lexical,0.093840697,0.833333333,0.99709771,0.903257014,4,"beautiful french ,little french ,"
ugly,N/A,value,0.729166667,N/A,0,0.25,0.25,0.25,4,
bad,8,value,0.71625,sub,-0.023598248,1.12E-05,0.000824485,0.024422732,4,"pretty bad ,big bad ,pretty bad ,big bad ,awful bad ,awful bad ,big bad ,big bad ,"
stupid,N/A,human,0.6575,N/A,0,0.25,0.25,0.25,4,
green,104,color,0.208461538,lexical,0.000101662,1.88E-09,0.000179284,7.76E-05,4,"yellow green ,yellow green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,long green ,long green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,big green ,nice green ,nice green ,nice green ,long green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,nice green ,little green ,little green ,yellow green ,yellow green ,orange green ,big green ,orange green ,little green ,little green ,little green ,"
dirty,3,physical,0.504,sub,-0.059703769,0.040071011,0.07958495,0.139288719,4,"dirty old ,dirty old ,dirty old ,"
happy,4,human,0.43,sub,-0.063696115,0.375,0.373831839,0.437527954,4,"big happy ,little happy ,happy little ,happy second ,"
plain,1,value,0.571428571,sub,-0.18949113,0.375,0.308769834,0.498260964,4,"plain yellow ,"
small,23,dimension,0.513,input,0.140241909,0.729166667,0.483818241,0.343576332,4,"small little ,small little ,pretty small ,pretty small ,small brown ,small brown ,small brown ,small dark ,small dark ,small dark ,small dark ,small dark ,small dark ,small black ,small black ,small front ,small front ,small little ,little small ,little small ,little small ,little small ,small little ,"
tall,13,dimension,0.675882353,lexical,0.148930391,0.103316327,0.266335107,0.117404716,4,"tall thin ,tall thin ,tall thin ,tall thin ,tall thin ,tall thin ,tall thin ,tall thin ,tall thin ,big tall ,big tall ,big tall ,jolly tall ,"
wicked,1,human,0.674444444,input,-0.394243343,0.5625,0.036275333,0.430518676,4,"wicked old ,"
soft,16,physical,0.572222222,input,-0.192971038,0.852941176,0.277253498,0.470224536,4,"nice soft ,soft red ,soft red ,soft red ,soft red ,soft little ,soft red ,nice soft ,soft wool ,soft red ,soft red ,soft red ,soft grey ,soft white ,soft white ,soft white ,"
round,3,shape,0.23875,lexical,0.068409164,0.875,0.990964827,0.922555663,4,"big round ,big round ,great round ,"
mean,8,human,0.712727273,input,-0.496600842,0.944444444,0.189057948,0.685658789,4,"mean old ,mean old ,mean old ,mean old ,mean old ,mean old ,mean old ,mean first ,"
